,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта
563,"пр-кт Октября, д.61 корп.3",Другое строение,2,,0.01
564,"пр-кт Октября, д.62",Многоквартирный дом,5,1963-01-01 00:00:00,7172.1
565,"пр-кт Октября, д.62 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,3608.6
566,"пр-кт Октября, д.62 корп.2",Многоквартирный дом,5,1971-01-01 00:00:00,6265.9
567,"пр-кт Октября, д.63",Многоквартирный дом,12,1969-01-01 00:00:00,4158.9
568,"пр-кт Октября, д.63 корп.1",Многоквартирный дом,5,1967-01-01 00:00:00,4495.6
569,"пр-кт Октября, д.63 корп.2",Многоквартирный дом,5,1966-01-01 00:00:00,3416.1
570,"пр-кт Октября, д.63 корп.3",Многоквартирный дом,5,1968-01-01 00:00:00,4521.1
571,"пр-кт Октября, д.63 корп.4",Многоквартирный дом,9,1970-01-01 00:00:00,2283.3
572,"пр-кт Октября, д.63 корп.5",Многоквартирный дом,9,1969-01-01 00:00:00,2296.0
573,"пр-кт Октября, д.63 корп.6",Другое строение,1,,0.01
574,"пр-кт Октября, д.64",Многоквартирный дом,9,1968-01-01 00:00:00,2520.6
575,"пр-кт Октября, д.64 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,3471.2
576,"пр-кт Октября, д.65",Многоквартирный дом,9,1972-01-01 00:00:00,15065.6
577,"пр-кт Октября, д.65 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,4501.2
578,"пр-кт Октября, д.65 корп.2",Многоквартирный дом,5,1967-01-01 00:00:00,4530.4
579,"пр-кт Октября, д.65 корп.3",Многоквартирный дом,5,1967-01-01 00:00:00,4553.8
580,"пр-кт Октября, д.65 корп.4",Многоквартирный дом,9,1969-01-01 00:00:00,2258.9
581,"пр-кт Октября, д.65 корп.5",Многоквартирный дом,10,1988-01-01 00:00:00,4415.2
582,"пр-кт Октября, д.65 корп.6",Многоквартирный дом,13,2003-01-01 00:00:00,9026.5
583,"пр-кт Октября, д.65 корп.8 ПГК",Другое строение,9,,0.01
584,"пр-кт Октября, д.65.",Другое строение,9,1972-01-01 00:00:00,0.04
585,"пр-кт Октября, д.66",Многоквартирный дом,5,1961-01-01 00:00:00,3699.4
586,"пр-кт Октября, д.66 корп.2",Многоквартирный дом,5,1971-01-01 00:00:00,1892.6
587,"пр-кт Октября, д.66 корп.3",Многоквартирный дом,5,1971-01-01 00:00:00,1799.6
588,"пр-кт Октября, д.66 корп.А",Многоквартирный дом,5,1962-01-01 00:00:00,3531.1
589,"пр-кт Октября, д.67",Другое строение,4,,0.01
590,"пр-кт Октября, д.67 корп.1",Другое строение,5,,0.01
591,"пр-кт Октября, д.67 корп.2",Другое строение,5,,0.01
592,"пр-кт Октября, д.68",Многоквартирный дом,5,1960-01-01 00:00:00,3185.7
593,"пр-кт Октября, д.68 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3719.9
594,"пр-кт Октября, д.68 корп.2",Другое строение,1,,0.01
595,"пр-кт Октября, д.69",Другое строение,1,,0.01
596,"пр-кт Октября, д.69 корп.2",Другое строение,4,,0.01
597,"пр-кт Октября, д.7",Многоквартирный дом,4,1953-01-01 00:00:00,1619.5
598,"пр-кт Октября, д.7 корп.1",Многоквартирный дом,9,2007-01-01 00:00:00,3088.0
599,"пр-кт Октября, д.70",Многоквартирный дом,9,1965-01-01 00:00:00,3117.6
600,"пр-кт Октября, д.70 корп.1",Многоквартирный дом,9,1965-01-01 00:00:00,2731.1
601,"пр-кт Октября, д.70 корп.2",Многоквартирный дом,5,1967-01-01 00:00:00,7375.6
602,"пр-кт Октября, д.71",Другое строение,1,,0.36
603,"пр-кт Октября, д.71 корп.1",Другое строение,4,1959-01-01 00:00:00,0.01
604,"пр-кт Октября, д.71 корп.2",Многоквартирный дом,20,1989-01-01 00:00:00,8337.4
605,"пр-кт Октября, д.71 корп.3",Многоквартирный дом,20,1995-01-01 00:00:00,8370.2
606,"пр-кт Октября, д.71 корп.4",Другое строение,3,,0.01
607,"пр-кт Октября, д.71/1",Другое строение,1,,0.11
608,"пр-кт Октября, д.72",Многоквартирный дом,9,1965-01-01 00:00:00,2741.4
609,"пр-кт Октября, д.73",Другое строение,1,,0.01
610,"пр-кт Октября, д.73 корп.1",Другое строение,9,,0.03
611,"пр-кт Октября, д.73 корп.1.",Больницы,9,,0.01
613,"пр-кт Октября, д.74",Многоквартирный дом,5,1962-01-01 00:00:00,6815.0
614,"пр-кт Октября, д.74 корп.1",Другое строение,2,,0.01
615,"пр-кт Октября, д.74 корп.2",Другое строение,1,,0.01
616,"пр-кт Октября, д.78",Многоквартирный дом,5,1962-01-01 00:00:00,3652.7
617,"пр-кт Октября, д.78 корп.1",Другое строение,2,,0.01
618,"пр-кт Октября, д.78 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,1596.6
620,"пр-кт Октября, д.78 корп.3",Многоквартирный дом,18,2010-01-01 00:00:00,8207.65
621,"пр-кт Октября, д.79",Другое строение,7,,0.01
622,"пр-кт Октября, д.79 корп.1",Другое строение,1,,0.01
623,"пр-кт Октября, д.79 корп.2",Другое строение,1,,0.01
624,"пр-кт Октября, д.8",Многоквартирный дом,5,1960-01-01 00:00:00,3205.5
625,"пр-кт Октября, д.8 корп.1",Многоквартирный дом,12,1988-01-01 00:00:00,2775.3
626,"пр-кт Октября, д.8 корп.2",Многоквартирный дом,6,1993-01-01 00:00:00,2513.7
627,"пр-кт Октября, д.80 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3461.7
628,"пр-кт Октября, д.80 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,1596.7
629,"пр-кт Октября, д.81",Другое строение,1,,0.01
630,"пр-кт Октября, д.81 корп.1",Многоквартирный дом,9,1967-01-01 00:00:00,2652.5
631,"пр-кт Октября, д.81 корп.2",Многоквартирный дом,9,1967-01-01 00:00:00,2628.4
632,"пр-кт Октября, д.82",Многоквартирный дом,5,1962-01-01 00:00:00,7458.5
633,"пр-кт Октября, д.82 корп.1",Многоквартирный дом,5,1962-01-01 00:00:00,3215.8
634,"пр-кт Октября, д.82 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,1606.9
635,"пр-кт Октября, д.82 корп.3",Многоквартирный дом,5,1962-01-01 00:00:00,1606.9
637,"пр-кт Октября, д.83",Многоквартирный дом,5,1965-01-01 00:00:00,3810.6
638,"пр-кт Октября, д.83 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,4822.8
639,"пр-кт Октября, д.83 корп.2",Многоквартирный дом,5,1964-01-01 00:00:00,4800.4
640,"пр-кт Октября, д.83 корп.3",Другое строение,1,,0.01
641,"пр-кт Октября, д.83 корп.85",Другое строение,1,,0.01
642,"пр-кт Октября, д.84",Многоквартирный дом,5,1961-01-01 00:00:00,3340.6
643,"пр-кт Октября, д.84 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3230.9
644,"пр-кт Октября, д.84 корп.2",Многоквартирный дом,5,1961-01-01 00:00:00,3209.9
645,"пр-кт Октября, д.84 корп.3",Многоквартирный дом,5,1961-01-01 00:00:00,3205.8
646,"пр-кт Октября, д.84 корп.4",Многоквартирный дом,18,2004-01-01 00:00:00,21946.2
647,"пр-кт Октября, д.85",Многоквартирный дом,5,1965-01-01 00:00:00,5605.1
648,"пр-кт Октября, д.85 корп.2",Многоквартирный дом,15,2002-01-01 00:00:00,6696.9
649,"пр-кт Октября, д.86",Многоквартирный дом,5,1961-01-01 00:00:00,3982.3
651,"пр-кт Октября, д.86 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3257.0
652,"пр-кт Октября, д.86 корп.1а",Другое строение,2,,0.01
653,"пр-кт Октября, д.86 корп.2",Многоквартирный дом,5,1962-01-01 00:00:00,1635.0
654,"пр-кт Октября, д.86 корп.3",Многоквартирный дом,5,1961-01-01 00:00:00,1623.7
655,"пр-кт Октября, д.87",Многоквартирный дом,5,1965-01-01 00:00:00,5092.1
656,"пр-кт Октября, д.87 корп.1",Другое строение,1,,0.01
657,"пр-кт Октября, д.87 корп.2",Многоквартирный дом,5,1964-01-01 00:00:00,2633.9
658,"пр-кт Октября, д.87 корп.3",Многоквартирный дом,5,1964-01-01 00:00:00,2620.2
659,"пр-кт Октября, д.87 корп.4",Многоквартирный дом,12,1988-01-01 00:00:00,4896.0
660,"пр-кт Октября, д.87 корп.5",Другое строение,1,2011-01-01 00:00:00,0.01
661,"пр-кт Октября, д.88",Многоквартирный дом,5,1961-01-01 00:00:00,3344.6
662,"пр-кт Октября, д.88 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3270.5
663,"пр-кт Октября, д.89",Многоквартирный дом,5,1965-01-01 00:00:00,3185.0
664,"пр-кт Октября, д.89 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3646.8
665,"пр-кт Октября, д.89 корп.1.",Другое строение,5,,0.01
666,"пр-кт Октября, д.89 корп.2",Многоквартирный дом,5,1963-01-01 00:00:00,3561.5
667,"пр-кт Октября, д.89 корп.3",Многоквартирный дом,5,1963-01-01 00:00:00,3580.3
668,"пр-кт Октября, д.89 корп.4",Многоквартирный дом,5,1964-01-01 00:00:00,2675.7
669,"пр-кт Октября, д.89 корп.4.",Другое строение,1,,0.01
670,"пр-кт Октября, д.89 корп.5",Многоквартирный дом,5,1964-01-01 00:00:00,2597.7
671,"пр-кт Октября, д.9",Многоквартирный дом,4,1955-01-01 00:00:00,3075.6
672,"пр-кт Октября, д.90",Многоквартирный дом,5,1961-01-01 00:00:00,3171.8
674,"пр-кт Октября, д.91",Другое строение,4,,0.02
675,"пр-кт Октября, д.91 корп.1",Многоквартирный дом,9,1966-01-01 00:00:00,2260.3
676,"пр-кт Октября, д.91 корп.2",Другое строение,1,,0.01
677,"пр-кт Октября, д.91 корп.3",Другое строение,1,,0.01
678,"пр-кт Октября, д.91 корп.а",Другое строение,1,,0.01
679,"пр-кт Октября, д.92",Многоквартирный дом,5,1961-01-01 00:00:00,3203.9
680,"пр-кт Октября, д.92 корп.1",Многоквартирный дом,5,1961-01-01 00:00:00,3361.6
681,"пр-кт Октября, д.92 корп.2",Многоквартирный дом,5,1961-01-01 00:00:00,3497.8
682,"пр-кт Октября, д.93",Многоквартирный дом,5,1963-01-01 00:00:00,3189.3
683,"пр-кт Октября, д.93 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3564.4
684,"пр-кт Октября, д.93 корп.2",Многоквартирный дом,5,1963-01-01 00:00:00,3551.3
685,"пр-кт Октября, д.93 корп.3",Многоквартирный дом,5,1963-01-01 00:00:00,3593.1
686,"пр-кт Октября, д.93 корп.4",Многоквартирный дом,5,1963-01-01 00:00:00,3266.2
687,"пр-кт Октября, д.93 корп.5",Другое строение,1,,0.01
688,"пр-кт Октября, д.94",Другое строение,4,,0.01
689,"пр-кт Октября, д.95",Многоквартирный дом,5,1962-01-01 00:00:00,3364.1
690,"пр-кт Октября, д.95 корп.1",Многоквартирный дом,5,1963-01-01 00:00:00,3557.6
691,"пр-кт Октября, д.95 корп.2",Другое строение,1,,0.01
692,"пр-кт Октября, д.95 корп.2*",Другое строение,0,,
693,"пр-кт Октября, д.97",Многоквартирный дом,5,1963-01-01 00:00:00,4081.2
695,"пр-кт Октября, д.97 корп.1",Многоквартирный дом,5,1966-01-01 00:00:00,3187.4
696,"пр-кт Октября, д.97 корп.2",Многоквартирный дом,12,1982-01-01 00:00:00,3653.2
697,"пр-кт Октября, д.99",Другое строение,2,,0.03
698,"пр-кт Октября, д.рядом7/1",Другое строение,0,,
699,"пр-кт Салавата Юлаева, д.36.",Другое строение,5,1980-01-01 00:00:00,0.0
700,"пр-кт Салавата Юлаева, д.55",Другое строение,9,1995-01-01 00:00:00,0.01
701,"пр-кт Салавата Юлаева, д.55.",Другое строение,0,,0.01
702,"пр-кт Салавата Юлаева, д.95",Другое строение,2,,
703,"пр-кт Салавата Юлаева, д.97",Другое строение,1,,0.01
704,"пр-кт Салавата Юлаева, д.99 корп.1",Другое строение,1,,0.01
705,"проезд. Лесной, д.1",Другое строение,1,,0.01
706,"проезд. Лесной, д.10 корп.1",Другое строение,1,,0.01
707,"проезд. Лесной, д.12",Многоквартирный дом,9,1972-01-01 00:00:00,11104.01
708,"проезд. Лесной, д.14",Многоквартирный дом,5,1969-01-01 00:00:00,5234.4
709,"проезд. Лесной, д.14 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,5211.6
710,"проезд. Лесной, д.14 корп.2",Многоквартирный дом,5,1969-01-01 00:00:00,3668.6
711,"проезд. Лесной, д.14 корп.3",Другое строение,2,,0.01
712,"проезд. Лесной, д.16",Многоквартирный дом,15,2002-01-01 00:00:00,5887.0
713,"проезд. Лесной, д.16 корп.1",Многоквартирный дом,5,1969-01-01 00:00:00,3569.4
714,"проезд. Лесной, д.3",Другое строение,4,,0.12
715,"проезд. Лесной, д.3 корп.1",Другое строение,2,1984-01-01 00:00:00,0.01
716,"проезд. Лесной, д.3 корп.а",Другое строение,2,,0.01
717,"проезд. Лесной, д.4",Другое строение,7,2013-01-01 00:00:00,0.01
718,"проезд. Лесной, д.6",Многоквартирный дом,9,1972-01-01 00:00:00,11039.4
719,"проезд. Лесной, д.6 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,3502.3
720,"проезд. Лесной, д.6 корп.2",Многоквартирный дом,9,1986-01-01 00:00:00,2831.2
721,"проезд. Лесной, д.6 корп.3",Многоквартирный дом,9,1986-01-01 00:00:00,8487.8
722,"проезд. Лесной, д.6 корп.5",Многоквартирный дом,12,2007-01-01 00:00:00,10215.4
723,"проезд. Лесной, д.8",Многоквартирный дом,9,1971-01-01 00:00:00,16174.6
724,"проезд. Лесной, д.8 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,5182.1
725,"проезд. Лесной, д.8 корп.1а",Другое строение,2,,0.03
726,"проезд. Лесной, д.8 корп.2",Многоквартирный дом,9,1972-01-01 00:00:00,16061.1
727,"проезд. Лесной, д.8 корп.3",Другое строение,2,,0.04
728,тракт. Бирский,Другое строение,0,,0.05
729,"ул. 40 лет Октября, д.1",Другое строение,6,,0.01
730,"ул. 40 лет Октября, д.1 корп.1",Другое строение,2,,0.01
731,"ул. 40 лет Октября, д.11",Многоквартирный дом,5,1958-01-01 00:00:00,5094.0
732,"ул. 40 лет Октября, д.12",Многоквартирный дом,5,1959-01-01 00:00:00,2835.0
733,"ул. 40 лет Октября, д.12 корп.А",Многоквартирный дом,5,1959-01-01 00:00:00,2540.8
734,"ул. 40 лет Октября, д.15",Многоквартирный дом,2,1941-01-01 00:00:00,523.71
735,"ул. 40 лет Октября, д.16",Многоквартирный дом,5,1960-01-01 00:00:00,3624.4
736,"ул. 40 лет Октября, д.17",Многоквартирный дом,2,1941-01-01 00:00:00,520.7
737,"ул. 40 лет Октября, д.18",Многоквартирный дом,5,1960-01-01 00:00:00,2488.5
738,"ул. 40 лет Октября, д.2",Многоквартирный дом,5,1958-01-01 00:00:00,3159.9
739,"ул. 40 лет Октября, д.20 корп.А",Другое строение,2,,0.01
740,"ул. 40 лет Октября, д.21",Многоквартирный дом,2,1943-01-01 00:00:00,943.6
741,"ул. 40 лет Октября, д.22",Другое строение,1,,0.01
742,"ул. 40 лет Октября, д.22 корп.А",Другое строение,2,,0.01
743,"ул. 40 лет Октября, д.33",Многоквартирный дом,2,1944-01-01 00:00:00,530.34
744,"ул. 40 лет Октября, д.4",Многоквартирный дом,5,1958-01-01 00:00:00,3167.6
745,"ул. 40 лет Октября, д.4 корп.А",Многоквартирный дом,5,1958-01-01 00:00:00,3784.7
746,"ул. 40 лет Октября, д.5",Многоквартирный дом,5,1963-01-01 00:00:00,2961.5
747,"ул. 40 лет Октября, д.6",Многоквартирный дом,5,1958-01-01 00:00:00,3104.6
748,"ул. 40 лет Октября, д.7",Многоквартирный дом,9,1975-01-01 00:00:00,5559.4
749,"ул. 40 лет Октября, д.7 корп.1",Многоквартирный дом,10,2009-01-01 00:00:00,5629.0
750,"ул. 40 лет Октября, д.8",Многоквартирный дом,5,1958-01-01 00:00:00,3129.1
751,"ул. 40 лет Октября, д.9",Многоквартирный дом,4,1957-01-01 00:00:00,2490.5
752,"ул. 40 лет Октября, д.9 корп.1",Многоквартирный дом,6,1968-01-01 00:00:00,5511.3
753,"ул. 50 лет СССР, д.0 корп.0",Другое строение,0,,0.01
754,"ул. 50 лет СССР, д.10",Другое строение,5,1964-01-01 00:00:00,0.01
755,"ул. 50 лет СССР, д.11",Многоквартирный дом,5,1965-01-01 00:00:00,3417.6
756,"ул. 50 лет СССР, д.12",Многоквартирный дом,9,1964-01-01 00:00:00,6023.3
757,"ул. 50 лет СССР, д.13",Многоквартирный дом,5,1965-01-01 00:00:00,3446.7
758,"ул. 50 лет СССР, д.14",Многоквартирный дом,5,1964-01-01 00:00:00,3656.3
759,"ул. 50 лет СССР, д.15",Многоквартирный дом,5,1965-01-01 00:00:00,3484.7
760,"ул. 50 лет СССР, д.16",Многоквартирный дом,5,1965-01-01 00:00:00,2877.0
761,"ул. 50 лет СССР, д.2",Многоквартирный дом,9,1973-01-01 00:00:00,4900.3
762,"ул. 50 лет СССР, д.24",Многоквартирный дом,3,1959-01-01 00:00:00,2472.2
763,"ул. 50 лет СССР, д.26",Многоквартирный дом,2,1954-01-01 00:00:00,234.99
764,"ул. 50 лет СССР, д.27 корп.1",Другое строение,3,,0.01
765,"ул. 50 лет СССР, д.29",Многоквартирный дом,4,1959-01-01 00:00:00,3309.2
766,"ул. 50 лет СССР, д.3",Многоквартирный дом,5,1965-01-01 00:00:00,3664.6
767,"ул. 50 лет СССР, д.31",Многоквартирный дом,3,1959-01-01 00:00:00,2820.09
768,"ул. 50 лет СССР, д.33",Многоквартирный дом,4,1959-01-01 00:00:00,2895.0
769,"ул. 50 лет СССР, д.33 корп.1",Другое строение,3,,0.01
770,"ул. 50 лет СССР, д.34",Другое строение,25,2022-10-01 00:00:00,0.02
771,"ул. 50 лет СССР, д.35",Другое строение,1,,0.02
772,"ул. 50 лет СССР, д.35 корп.1",Другое строение,3,,0.01
773,"ул. 50 лет СССР, д.36",Другое строение,4,,0.01
774,"ул. 50 лет СССР, д.36 корп.А-Б",Другое строение,4,,0.01
775,"ул. 50 лет СССР, д.36 корп.В",Другое строение,4,,0.01
776,"ул. 50 лет СССР, д.37",Многоквартирный дом,4,1956-01-01 00:00:00,3371.4
777,"ул. 50 лет СССР, д.38",Многоквартирный дом,14,1984-01-01 00:00:00,4929.3
778,"ул. 50 лет СССР, д.39",Другое строение,4,,0.01
779,"ул. 50 лет СССР, д.39 корп.1",Другое строение,6,,0.01
780,"ул. 50 лет СССР, д.39 корп.11",Другое строение,6,,0.01
781,"ул. 50 лет СССР, д.39 корп.2",Другое строение,4,,0.01
782,"ул. 50 лет СССР, д.4",Многоквартирный дом,5,1965-01-01 00:00:00,2473.8
783,"ул. 50 лет СССР, д.40",Многоквартирный дом,9,1971-01-01 00:00:00,16107.1
784,"ул. 50 лет СССР, д.42",Многоквартирный дом,14,1987-01-01 00:00:00,5350.5
785,"ул. 50 лет СССР, д.42 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,4263.2
786,"ул. 50 лет СССР, д.42 корп.2",Другое строение,2,,0.01
787,"ул. 50 лет СССР, д.42 корп.3",Другое строение,2,2018-11-01 00:00:00,0.02
788,"ул. 50 лет СССР, д.42 корп.а",Другое строение,2,,0.01
789,"ул. 50 лет СССР, д.43",Многоквартирный дом,9,1971-01-01 00:00:00,10563.9
790,"ул. 50 лет СССР, д.43 корп.1",Многоквартирный дом,5,1971-01-01 00:00:00,3563.9
791,"ул. 50 лет СССР, д.43 корп.2",Многоквартирный дом,5,1968-01-01 00:00:00,3549.6
792,"ул. 50 лет СССР, д.43 корп.3",Другое строение,2,,0.03
793,"ул. 50 лет СССР, д.44",Многоквартирный дом,9,1971-01-01 00:00:00,15913.1
794,"ул. 50 лет СССР, д.45",Многоквартирный дом,10,1972-01-01 00:00:00,8546.1
795,"ул. 50 лет СССР, д.45 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,3690.5
796,"ул. 50 лет СССР, д.45 корп.2",Многоквартирный дом,5,1968-01-01 00:00:00,3564.6
797,"ул. 50 лет СССР, д.45 корп.А",Многоквартирный дом,10,1972-01-01 00:00:00,10324.7
798,"ул. 50 лет СССР, д.45 корп.б",Другое строение,1,,0.01
799,"ул. 50 лет СССР, д.46",Многоквартирный дом,14,1981-01-01 00:00:00,5573.7
800,"ул. 50 лет СССР, д.46 корп.1",Многоквартирный дом,5,1970-01-01 00:00:00,4024.2
801,"ул. 50 лет СССР, д.47",Многоквартирный дом,10,1971-01-01 00:00:00,22658.2
802,"ул. 50 лет СССР, д.48",Многоквартирный дом,9,1971-01-01 00:00:00,15931.2
803,"ул. 50 лет СССР, д.48 корп.1",Другое строение,3,,0.01
804,"ул. 50 лет СССР, д.48 корп.1* потери",Другое строение,0,,
805,"ул. 50 лет СССР, д.5",Многоквартирный дом,5,1965-01-01 00:00:00,3565.0
806,"ул. 50 лет СССР, д.50",Многоквартирный дом,14,1986-01-01 00:00:00,5064.6
807,"ул. 50 лет СССР, д.50 корп.пристрой",Другое строение,14,1986-01-01 00:00:00,0.01
808,"ул. 50 лет СССР, д.6",Многоквартирный дом,5,1965-01-01 00:00:00,2495.7
809,"ул. 50 лет СССР, д.8",Многоквартирный дом,9,1970-01-01 00:00:00,6283.4
810,"ул. 50 лет СССР, д.9",Многоквартирный дом,5,1965-01-01 00:00:00,3481.0
811,"ул. 50-летия Октября, д.11",Многоквартирный дом,5,1964-01-01 00:00:00,3154.2
812,"ул. 50-летия Октября, д.11 корп.1",Многоквартирный дом,5,1965-01-01 00:00:00,2511.7
813,"ул. 50-летия Октября, д.11 корп.2",Другое строение,4,1964-01-01 00:00:00,0.01
814,"ул. 50-летия Октября, д.12",Многоквартирный дом,5,1963-01-01 00:00:00,3162.0
815,"ул. 50-летия Октября, д.13",Другое строение,11,1971-01-01 00:00:00,0.01
816,"ул. 50-летия Октября, д.13 корп.1",Другое строение,3,2005-01-01 00:00:00,0.01
817,"ул. 50-летия Октября, д.14",Многоквартирный дом,5,1965-01-01 00:00:00,3472.3
818,"ул. 50-летия Октября, д.14 корп.1",Дет.ясли и сады,2,1968-01-01 00:00:00,0.01
819,"ул. 50-летия Октября, д.15",Другое строение,3,1988-01-01 00:00:00,0.19
820,"ул. 50-летия Октября, д.15* корп.потери",Другое строение,0,,
821,"ул. 50-летия Октября, д.15/1",Другое строение,3,,0.01
822,"ул. 50-летия Октября, д.16",Другое строение,1,1969-01-01 00:00:00,0.01
823,"ул. 50-летия Октября, д.16 корп.1",Другое строение,1,1971-01-01 00:00:00,0.01
824,"ул. 50-летия Октября, д.18",Многоквартирный дом,5,1969-01-01 00:00:00,3885.9
825,"ул. 50-летия Октября, д.19",Другое строение,9,,0.02
826,"ул. 50-летия Октября, д.2",Многоквартирный дом,9,1966-01-01 00:00:00,5831.0
827,"ул. 50-летия Октября, д.20",Многоквартирный дом,5,1961-01-01 00:00:00,6285.2
828,"ул. 50-летия Октября, д.20 корп.1",Другое строение,2,1951-01-01 00:00:00,0.01
829,"ул. 50-летия Октября, д.21",Другое строение,2,2014-01-01 00:00:00,0.01
830,"ул. 50-летия Октября, д.24",Другое строение,4,1968-01-01 00:00:00,0.01
831,"ул. 50-летия Октября, д.26",Многоквартирный дом,5,1966-01-01 00:00:00,3372.6
832,"ул. 50-летия Октября, д.26 корп.1",Многоквартирный дом,5,1968-01-01 00:00:00,2508.6
833,"ул. 50-летия Октября, д.28",Многоквартирный дом,5,1965-01-01 00:00:00,3931.7
834,"ул. 50-летия Октября, д.3",Многоквартирный дом,5,1964-01-01 00:00:00,3596.5
835,"ул. 50-летия Октября, д.3 корп.1",Многоквартирный дом,5,1965-01-01 00:00:00,2519.8
836,"ул. 50-летия Октября, д.3 корп.П",Многоквартирный дом,5,,279.6
837,"ул. 50-летия Октября, д.30",Многоквартирный дом,5,1964-01-01 00:00:00,3366.51
838,"ул. 50-летия Октября, д.30 корп.1",Многоквартирный дом,5,1964-01-01 00:00:00,2522.3
839,"ул. 50-летия Октября, д.32",Другое строение,4,1969-01-01 00:00:00,0.03
840,"ул. 50-летия Октября, д.34",Другое строение,2,1990-01-01 00:00:00,0.01
841,"ул. 50-летия Октября, д.4",Многоквартирный дом,5,1964-01-01 00:00:00,3226.4
842,"ул. 50-летия Октября, д.5",Многоквартирный дом,5,1964-01-01 00:00:00,3343.9
843,"ул. 50-летия Октября, д.5 корп.1",Многоквартирный дом,5,1965-01-01 00:00:00,2511.6
844,"ул. 50-летия Октября, д.6 корп.8",Многоквартирный дом,5,1963-01-01 00:00:00,6888.8
845,"ул. 50-летия Октября, д.7",Многоквартирный дом,5,1964-01-01 00:00:00,3148.9
846,"ул. 50-летия Октября, д.7 корп.а",Другое строение,3,1964-01-01 00:00:00,0.01
847,"ул. 50-летия Октября, д.9",Многоквартирный дом,5,1964-01-01 00:00:00,3161.3
848,"ул. 8 Марта, д.10",Многоквартирный дом,5,1968-01-01 00:00:00,3299.3
849,"ул. 8 Марта, д.11",Другое строение,5,1970-01-01 00:00:00,0.01
850,"ул. 8 Марта, д.12",Другое строение,2,1989-01-01 00:00:00,0.01
851,"ул. 8 Марта, д.12 корп.1",Другое строение,9,1984-01-01 00:00:00,0.07
852,"ул. 8 Марта, д.12 корп.3",Многоквартирный дом,10,2007-01-01 00:00:00,8366.5
853,"ул. 8 Марта, д.13",Многоквартирный дом,5,1964-01-01 00:00:00,3239.7
854,"ул. 8 Марта, д.14",Многоквартирный дом,5,1970-01-01 00:00:00,5198.1
855,"ул. 8 Марта, д.15",Многоквартирный дом,5,1963-01-01 00:00:00,3182.6
856,"ул. 8 Марта, д.16",Многоквартирный дом,5,1968-01-01 00:00:00,4509.4
857,"ул. 8 Марта, д.17",Другое строение,5,1978-01-01 00:00:00,0.01
858,"ул. 8 Марта, д.18",Многоквартирный дом,5,1969-01-01 00:00:00,3572.1
859,"ул. 8 Марта, д.19 корп.АБВГД",Многоквартирный дом,15,2007-01-01 00:00:00,20137.9
860,"ул. 8 Марта, д.2","Учебное заведение, комбинат, центр",5,1964-01-01 00:00:00,3758.2
861,"ул. 8 Марта, д.20",Многоквартирный дом,4,1958-01-01 00:00:00,2317.4
862,"ул. 8 Марта, д.24",Многоквартирный дом,4,1963-01-01 00:00:00,1298.4
863,"ул. 8 Марта, д.24 корп.1",Многоквартирный дом,9,1980-01-01 00:00:00,3818.3
864,"ул. 8 Марта, д.26",Многоквартирный дом,3,1956-01-01 00:00:00,1093.22
865,"ул. 8 Марта, д.28",Многоквартирный дом,3,1954-01-01 00:00:00,786.49
866,"ул. 8 Марта, д.28 корп.1",Многоквартирный дом,3,1948-01-01 00:00:00,278.52
867,"ул. 8 Марта, д.3",Другое строение,4,1964-01-01 00:00:00,0.01
868,"ул. 8 Марта, д.30",Многоквартирный дом,3,1955-01-01 00:00:00,1255.47
870,"ул. 8 Марта, д.32",Многоквартирный дом,12,2004-01-01 00:00:00,8473.3
871,"ул. 8 Марта, д.32 корп.1",Многоквартирный дом,10,2007-01-01 00:00:00,13513.8
872,"ул. 8 Марта, д.34",Многоквартирный дом,11,2011-01-01 00:00:00,11998.15
873,"ул. 8 Марта, д.4","Учебное заведение, комбинат, центр",5,1966-01-01 00:00:00,3772.7
874,"ул. 8 Марта, д.5",Многоквартирный дом,5,1959-01-01 00:00:00,3544.72
875,"ул. 8 Марта, д.5 корп.1",Многоквартирный дом,5,1973-01-01 00:00:00,3863.0
876,"ул. 8 Марта, д.5 корп.3",Другое строение,1,,0.01
